service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AS2526-ALUS2-L-Ma-J-V-02,1,1,0,1,1,0,0,20260123,20260703
AS2526-ALUS2-L-Ma-J-V-02-1101100,1,1,0,1,1,0,0,20260123,20260703
AS2526-ALUS2-L-Ma-J-V-02-1101000,1,1,0,1,0,0,0,20260123,20260703
AS2526-ALUS2-L-Ma-J-V-02-0000100,0,0,0,0,1,0,0,20260123,20260703
AS2526-ASAS2-Samedi-02,0,0,0,0,0,1,0,20260124,20260704
AS2526-AMES2-Mercredi-02,0,0,1,0,0,0,0,20260128,20260701
AS2526-AMES2-Mercredi-02-0010000,0,0,1,0,0,0,0,20260128,20260701
AN2526-ALUN1-Semaine-01,1,1,1,1,1,0,0,20260216,20260828
AN2526-ALUN1-Semaine-01-1111100,1,1,1,1,1,0,0,20260216,20260828
AN2526-ALUN1-Semaine-01-1111000,1,1,1,1,0,0,0,20260216,20260828
AN2526-ALUN1-Semaine-01-0000100,0,0,0,0,1,0,0,20260216,20260828
AN2526-ASAN1-Samedi-01,0,0,0,0,0,1,0,20260221,20260829
AN2526-ASAN1-Samedi-01-0000010,0,0,0,0,0,1,0,20260221,20260829
SC2526-MB_LUS-L-Ma-J-V-36,1,1,0,1,1,0,0,20260123,20260703
SC2526-MB_LUS-L-Ma-J-V-36-1101100,1,1,0,1,1,0,0,20260123,20260703
SC2526-SAS_00-Samedi-10,0,0,0,0,0,1,0,20260124,20260704
SC2526-MB_Di-Dimanche-02,0,0,0,0,0,0,1,20260125,20260830
SC2526-MB_MES-Mercredi-10,0,0,1,0,0,0,0,20260128,20260701
SC2526-MB_MES-Mercredi-10-0010000,0,0,1,0,0,0,0,20260128,20260701
NS2526-LUN_NS-Semaine-07,1,1,1,1,1,0,0,20260216,20260515
NS2526-SAN_NS-Samedi-06,0,0,0,0,0,1,0,20260221,20260516
NS2526-SAN_NS-Samedi-06-0000010,0,0,0,0,0,1,0,20260221,20260516
ETE2026-MB_LUS-Semaine-02,1,1,1,1,1,0,0,20260706,20260831
ETE2026-MB_SAN-Samedi-02,0,0,0,0,0,1,0,20260711,20260829
ETE2026-MB_SAN-Samedi-02-0000010,0,0,0,0,0,1,0,20260711,20260829
SC2526-TLAV_00-Semaine-03,1,1,1,1,1,0,0,20260123,20260123
SC2526-TSAS_00-Samedi-01,0,0,0,0,0,1,0,20260124,20260704
SC2526-TDIM_00-Dimanche-00,0,0,0,0,0,0,1,20260125,20260830
SC2627-TLAS_00-Semaine-05,1,1,1,1,1,0,0,20260126,20260703
NS2526-TLAS_00-Lun-Sam-01,1,1,1,1,1,1,0,20260216,20260831
