route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-28453,7,L1,"Marly - Petite-Forêt",,3,,87189D,FFFFFF
2-28453,7,L2,"St Waast - Crespin / Quiévrechain",,3,,F98E00,FFFFFF
3-28453,7,3,"M Peruwelz - Condé hotel de ville",,3,,85C8D8,000000
4-28453,7,4,"DOUCHY E Littré-ROEULX/ESCAUDAIN",,3,,85C8D8,000000
5-28453,7,5,"BRUAY Place-VALENCIENNES Gare",,3,,85C8D8,000000
7-28453,7,CRL,"Corol - P F Ctre Cc /Beuvrages-Anzin",,3,,85C8D8,000000
10-28453,7,10,"BRUAY Place - Anzin Hôtel de Ville",,3,,A1C863,000000
11-28453,7,11,"TRITH de Vinci - VALENCIENNES G",,3,,A1C863,000000
12-28453,7,12,"Anzin Hôtel de Ville - Saint Amand Elnon",,3,,A1C863,000000
13-28452,7,13,"VALENCIENNES GARE - AULNOY",,3,,A1C863,000000
14-28451,4,14,"Fresnes - Bonsecours - Peruwelz",,3,,A1C863,000000
14-28453,7,14,"Fresnes - Bonsecours",,3,,A1C863,000000
15-28452,7,15,"Espace Villars - ESCAUDAIN",,3,,A1C863,000000
16-28453,7,16,"DENAIN E Villars-VALENCIENNES G",,3,,A1C863,000000
17-28452,7,17,"DENAIN Espace Villars - FAMARS Université",,3,,A1C863,000000
18-28452,7,18,"EMERCHICOURT - ABSCON- DENAIN Espace Villars",,3,,A1C863,000000
19-28451,7,19,"Centre Thermal - Hasnon",,3,,A1C863,000000
19-28453,7,19,"Centre Thermal - Hasnon",,3,,A1C863,000000
20-28453,7,20,"WALLERS Hertain - VALENCIENNES Ste Catherine",,3,,A1C863,000000
26-28452,4,A,"Navette AERODROME",,3,,14737D,FFFFFF
27-28452,7,G,"Navette GSK",,3,,14737D,FFFFFF
100-28451,7,100,"HERGNIES - CONDE",,3,,FCCD00,000000
100-28453,7,100,"HERGNIES - CONDE",,3,,FCCD00,000000
101-28452,7,101,"HORDAIN Salle des Sports - DENAIN Espace Villars",,3,,FCCD00,000000
102-28453,7,102,"Maing - THIANT Collège - P F Ctre Ccial",,3,,FCCD00,000000
103-28452,7,103,"Famars Université - VERCHAIN Mairie",,3,,FCCD00,000000
106-28452,4,106,"DENAIN Espace Villars - HELESMES Terminus",,3,,FCCD00,000000
107-28452,7,107,"DENAIN Espace Villars - SAINT AMAND Lycée Couteaux",,3,,FCCD00,000000
108-28452,7,108,"SAINT AMAND SNCF - FLINES  LES MORTAGNE Rouillon",,3,,FCCD00,000000
109-28452,7,109,"ODOMEZ La Hauteville - QUIEVRECHAIN Puits n°2",,3,,FCCD00,000000
112-28452,7,112,"MARQUETTE 8 Mai 45 - NEUVILLE Cimetière",,3,,FCCD00,000000
113-28453,7,113,"BEUVRAGES R d droit-Valenciennes Gare",,3,,FCCD00,000000
115-28453,7,115,"P F Ctre Ccial - Valenciennes Gare",,3,,FCCD00,000000
116-28453,7,116,"ONNAING - TOYOTA / Vicq",,3,,FCCD00,000000
131-28452,4,131,"VALENCIENNES - SEBOURG Triez",,3,,FCCD00,000000
