shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10119,50.377834,3.476604,10001
10119,50.377939,3.476515,10002
10119,50.377995,3.476466,10003
10119,50.378046,3.476418,10004
10119,50.378087,3.476366,10005
10119,50.378115,3.476305,10006
10119,50.378128,3.476244,10007
10119,50.378126,3.476173,10008
10119,50.378109,3.476081,10009
10119,50.378090,3.476018,10010
10119,50.378062,3.475941,10011
10119,50.378039,3.475897,10012
10119,50.378015,3.475873,10013
10119,50.377989,3.475844,10014
10119,50.377943,3.475820,10015
10119,50.377894,3.475813,10016
10119,50.377772,3.475837,10017
10119,50.377725,3.475853,10018
10119,50.377624,3.475880,10019
10119,50.377525,3.475903,10020
10119,50.377496,3.475902,10021
10119,50.377367,3.476065,10022
10119,50.377354,3.476213,10023
10119,50.377401,3.476450,10024
10119,50.377422,3.476523,10025
10119,50.377457,3.476633,10026
10119,50.377467,3.476703,10027
10119,50.377493,3.476821,10028
10119,50.377504,3.476882,10029
10119,50.377508,3.476894,10030
10119,50.378505,3.480112,10031
10119,50.378830,3.479792,10032
10119,50.379124,3.479490,10033
10119,50.379262,3.479340,10034
10119,50.379432,3.479153,10035
10119,50.379852,3.478729,10036
10119,50.379918,3.478723,10037
10119,50.380249,3.478448,10038
10119,50.380415,3.478279,10039
10119,50.380493,3.478183,10040
10119,50.380524,3.478125,10041
10119,50.380596,3.478019,10042
10119,50.380766,3.477630,10043
10119,50.380961,3.477362,10044
10119,50.381195,3.477273,10045
10119,50.381285,3.477301,10046
10119,50.381305,3.477377,10047
10119,50.381335,3.477451,10048
10119,50.381377,3.477513,10049
10119,50.381416,3.477550,10050
10119,50.381460,3.477579,10051
10119,50.381517,3.477599,10052
10119,50.381574,3.477600,10053
10119,50.381702,3.477779,10054
10119,50.381736,3.477838,10055
10119,50.381796,3.477985,10056
10119,50.381796,3.477985,20001
10119,50.381816,3.478036,20002
10119,50.381927,3.478347,20003
10119,50.382045,3.478685,20004
10119,50.382085,3.478808,20005
10119,50.382120,3.478831,20006
10119,50.382146,3.478907,20007
10119,50.382246,3.479197,20008
10119,50.382464,3.479855,20009
10119,50.382656,3.480379,20010
10119,50.383003,3.481222,20011
10119,50.383147,3.481525,20012
10119,50.383214,3.481667,20013
10119,50.383334,3.481909,20014
10119,50.383498,3.482261,20015
10119,50.383503,3.482359,20016
10119,50.383535,3.482443,20017
10119,50.383566,3.482551,20018
10119,50.383587,3.482645,20019
10119,50.383618,3.482828,20020
10119,50.383628,3.482925,20021
10119,50.383628,3.482925,30001
10119,50.383635,3.482998,30002
10119,50.383640,3.483095,30003
10119,50.383631,3.483207,30004
10119,50.383606,3.483284,30005
10119,50.383587,3.483373,30006
10119,50.383581,3.483474,30007
10119,50.383588,3.483562,30008
10119,50.383604,3.483628,30009
10119,50.383633,3.483696,30010
10119,50.383675,3.483753,30011
10119,50.383725,3.483794,30012
10119,50.383778,3.483815,30013
10119,50.383833,3.483816,30014
10119,50.383887,3.483804,30015
10119,50.383993,3.483845,30016
10119,50.384078,3.483874,30017
10119,50.384166,3.483926,30018
10119,50.384323,3.484090,30019
10119,50.384404,3.484186,30020
10119,50.384565,3.484373,30021
10119,50.384705,3.484573,30022
10119,50.384832,3.484797,30023
10119,50.385053,3.485264,30024
10119,50.385291,3.485749,30025
10119,50.385525,3.486235,30026
10119,50.385765,3.486721,30027
10119,50.385917,3.487026,30028
10119,50.385969,3.487112,30029
10119,50.386031,3.487175,30030
10119,50.386050,3.487220,30031
10119,50.386050,3.487220,40001
10119,50.386116,3.487383,40002
10119,50.386203,3.487598,40003
10119,50.386277,3.487814,40004
10119,50.386371,3.488151,40005
10119,50.386489,3.488514,40006
10119,50.386514,3.488596,40007
10119,50.386594,3.488763,40008
10119,50.386697,3.488925,40009
10119,50.386656,3.488986,40010
10119,50.386630,3.489065,40011
10119,50.386621,3.489150,40012
10119,50.386628,3.489237,40013
10119,50.386637,3.489283,40014
10119,50.386495,3.489385,40015
10119,50.386417,3.489439,40016
10119,50.386304,3.489521,40017
10119,50.386161,3.489625,40018
10119,50.385745,3.489892,40019
10119,50.384741,3.490636,40020
10119,50.384543,3.490780,40021
10119,50.384543,3.490780,50001
10119,50.384208,3.491025,50002
10119,50.384149,3.491071,50003
10119,50.383689,3.491413,50004
10119,50.383088,3.491853,50005
10119,50.382631,3.492203,50006
10119,50.382220,3.492524,50007
10119,50.381894,3.492820,50008
10119,50.381735,3.492963,50009
10119,50.381502,3.493192,50010
10119,50.381502,3.493192,60001
10119,50.381165,3.493524,60002
10119,50.380789,3.493883,60003
10119,50.378950,3.495635,60004
10119,50.378793,3.495785,60005
10119,50.378793,3.495785,70001
10119,50.377718,3.496805,70002
10119,50.377517,3.497001,70003
10119,50.377152,3.497356,70004
10119,50.376904,3.497593,70005
10119,50.376556,3.497924,70006
10119,50.376556,3.497924,80001
10119,50.376278,3.498188,80002
10119,50.376067,3.498390,80003
10119,50.375933,3.498517,80004
10119,50.375794,3.498651,80005
10119,50.375646,3.498793,80006
10119,50.375192,3.499227,80007
10119,50.374884,3.499523,80008
10119,50.374736,3.499665,80009
10119,50.374406,3.499986,80010
10119,50.374254,3.500129,80011
10119,50.373978,3.500392,80012
10119,50.373783,3.500574,80013
10119,50.373783,3.500574,90001
10119,50.373773,3.500584,90002
10119,50.373155,3.501153,90003
10119,50.372221,3.502028,90004
10119,50.372006,3.502239,90005
10119,50.371938,3.502258,90006
10119,50.371716,3.502491,90007
10119,50.371315,3.502881,90008
10119,50.371205,3.502991,90009
10119,50.371128,3.503031,90010
10119,50.371044,3.503044,90011
10119,50.371037,3.503020,90012
10119,50.371011,3.502957,90013
10119,50.370993,3.502928,90014
10119,50.370973,3.502904,90015
10119,50.370951,3.502887,90016
10119,50.370925,3.502876,90017
10119,50.370900,3.502873,90018
10119,50.370875,3.502875,90019
10119,50.370850,3.502885,90020
10119,50.370827,3.502901,90021
10119,50.370806,3.502924,90022
10119,50.370788,3.502952,90023
10119,50.370772,3.502984,90024
10119,50.370761,3.503020,90025
10119,50.370754,3.503058,90026
10119,50.370752,3.503097,90027
10119,50.370754,3.503138,90028
10119,50.370759,3.503186,90029
10119,50.370772,3.503228,90030
10119,50.370792,3.503262,90031
10119,50.370828,3.503296,90032
10119,50.370720,3.503432,90033
10119,50.370613,3.503542,90034
10119,50.370518,3.503640,90035
10119,50.370518,3.503640,100001
10119,50.370404,3.503758,100002
10119,50.370319,3.503842,100003
10119,50.370293,3.503823,100004
10119,50.370281,3.503821,100005
10119,50.370240,3.503836,100006
10119,50.370223,3.503849,100007
10119,50.370197,3.503878,100008
10119,50.370173,3.503910,100009
10119,50.370164,3.503945,100010
10119,50.370162,3.503959,100011
10119,50.370165,3.503981,100012
10119,50.370177,3.504007,100013
10119,50.369875,3.504446,100014
10119,50.369784,3.504575,100015
10119,50.369682,3.504750,100016
10119,50.369530,3.504970,100017
10119,50.369387,3.505205,100018
10119,50.369324,3.505340,100019
10119,50.369169,3.505604,100020
10119,50.369085,3.505770,100021
10119,50.369058,3.505834,100022
10119,50.369058,3.505834,110001
10119,50.369023,3.505917,110002
10119,50.368916,3.506358,110003
10119,50.368735,3.506908,110004
10119,50.368652,3.507144,110005
10119,50.368583,3.507270,110006
10119,50.368509,3.507428,110007
10119,50.368457,3.507528,110008
10119,50.368249,3.507947,110009
10119,50.367959,3.508549,110010
10119,50.367818,3.508831,110011
10119,50.367736,3.509010,110012
10119,50.367564,3.509389,110013
10119,50.367564,3.509389,120001
10119,50.367455,3.509632,120002
10119,50.367072,3.510458,120003
10119,50.366976,3.510503,120004
10119,50.366965,3.510513,120005
10119,50.366943,3.510563,120006
10119,50.366880,3.510678,120007
10119,50.366856,3.510724,120008
10119,50.366839,3.510770,120009
10119,50.366820,3.510831,120010
10119,50.366566,3.511632,120011
10119,50.366532,3.511762,120012
10119,50.366487,3.511891,120013
10119,50.366433,3.512096,120014
10119,50.366402,3.512193,120015
10119,50.366333,3.512407,120016
10119,50.366164,3.512929,120017
10119,50.366074,3.513204,120018
10119,50.365979,3.513508,120019
10119,50.365932,3.513656,120020
10119,50.365653,3.514510,120021
10119,50.365653,3.514510,130001
10119,50.365604,3.514659,130002
10119,50.365570,3.514667,130003
10119,50.365542,3.514702,130004
10119,50.365531,3.514734,130005
10119,50.365521,3.514776,130006
10119,50.365521,3.514816,130007
10119,50.365531,3.514872,130008
10119,50.365545,3.514900,130009
10119,50.365465,3.515090,130010
10119,50.365450,3.515135,130011
10119,50.365377,3.515363,130012
10119,50.365337,3.515487,130013
10119,50.365325,3.515531,130014
10119,50.365318,3.515557,130015
10119,50.365253,3.515999,130016
10119,50.365243,3.516066,130017
10119,50.365188,3.516398,130018
10119,50.365174,3.516526,130019
10119,50.365157,3.516635,130020
10119,50.365005,3.517698,130021
10119,50.364983,3.517853,130022
10119,50.364934,3.518166,130023
10119,50.364905,3.518317,130024
10119,50.364872,3.518439,130025
10119,50.364798,3.518598,130026
10119,50.364770,3.518661,130027
10119,50.364749,3.518742,130028
10119,50.364743,3.518840,130029
10119,50.364751,3.518923,130030
10119,50.364756,3.519016,130031
10119,50.364797,3.519200,130032
10119,50.364781,3.519225,130033
10119,50.364768,3.519256,130034
10119,50.364760,3.519291,130035
10119,50.364757,3.519327,130036
10119,50.364759,3.519364,130037
10119,50.364766,3.519398,130038
10119,50.364778,3.519429,130039
10119,50.364795,3.519455,130040
10119,50.364815,3.519475,130041
10119,50.364776,3.519746,130042
10119,50.364776,3.519746,140001
10119,50.364653,3.520598,140002
10119,50.364598,3.520683,140003
10119,50.364547,3.521078,140004
10119,50.364499,3.521458,140005
10119,50.364536,3.521574,140006
10119,50.364490,3.522567,140007
10119,50.364478,3.522817,140008
10119,50.364459,3.522992,140009
10119,50.364405,3.522976,140010
10119,50.364358,3.522975,140011
10119,50.364312,3.522997,140012
10119,50.364273,3.523071,140013
10119,50.364257,3.523112,140014
10119,50.364253,3.523181,140015
10119,50.364255,3.523247,140016
10119,50.364269,3.523289,140017
10119,50.364284,3.523320,140018
10119,50.364344,3.523385,140019
10119,50.364339,3.523733,140020
10119,50.364311,3.524046,140021
10119,50.364179,3.525451,140022
10119,50.364092,3.526184,140023
10119,50.364048,3.526763,140024
10119,50.364013,3.527108,140025
10119,50.363960,3.527672,140026
10119,50.363960,3.527672,150001
10119,50.363902,3.528301,150002
10119,50.363882,3.528492,150003
10119,50.363858,3.528757,150004
10119,50.363836,3.529026,150005
10119,50.363830,3.529204,150006
10119,50.363822,3.529223,150007
10119,50.363816,3.529245,150008
10119,50.363812,3.529273,150009
10119,50.363754,3.529293,150010
10119,50.363707,3.529331,150011
10119,50.363664,3.529388,150012
10119,50.363606,3.529477,150013
10119,50.363460,3.529686,150014
10119,50.363329,3.529878,150015
10119,50.363188,3.530092,150016
10119,50.363158,3.530134,150017
10119,50.363127,3.530168,150018
10119,50.362938,3.530409,150019
10119,50.362918,3.530424,150020
10119,50.362828,3.530501,150021
10119,50.362559,3.530696,150022
10119,50.362559,3.530696,160001
10119,50.362365,3.530837,160002
10119,50.361765,3.531271,160003
10119,50.361614,3.531387,160004
10119,50.361612,3.531355,160005
10119,50.361607,3.531326,160006
10119,50.361600,3.531306,160007
10119,50.361579,3.531265,160008
10119,50.361560,3.531249,160009
10119,50.361539,3.531242,160010
10119,50.361518,3.531239,160011
10119,50.361472,3.531246,160012
10119,50.361445,3.531258,160013
10119,50.361431,3.531273,160014
10119,50.361412,3.531301,160015
10119,50.361407,3.531308,160016
10119,50.361396,3.531340,160017
10119,50.361386,3.531381,160018
10119,50.361378,3.531452,160019
10119,50.361299,3.531470,160020
10119,50.361244,3.531473,160021
10119,50.361128,3.531471,160022
10119,50.360099,3.531668,160023
10119,50.360056,3.531625,160024
10119,50.359785,3.531673,160025
10119,50.359597,3.531714,160026
10119,50.359558,3.531774,160027
10119,50.359272,3.531830,160028
10119,50.359272,3.531830,170001
10119,50.358185,3.532043,170002
10119,50.358180,3.532015,170003
10119,50.358167,3.531986,170004
10119,50.358156,3.531971,170005
10119,50.358121,3.531933,170006
10119,50.358099,3.531923,170007
10119,50.358082,3.531920,170008
10119,50.358056,3.531924,170009
10119,50.358035,3.531935,170010
10119,50.358008,3.531860,170011
10119,50.357978,3.531808,170012
10119,50.357951,3.531777,170013
10119,50.357910,3.531740,170014
10119,50.357860,3.531703,170015
10119,50.357411,3.531467,170016
10119,50.357115,3.531301,170017
10119,50.356782,3.531087,170018
10119,50.356080,3.530605,170019
10119,50.355548,3.530287,170020
10119,50.354977,3.529934,170021
10119,50.354677,3.529746,170022
10119,50.354677,3.529746,180001
10119,50.354515,3.529644,180002
10119,50.354332,3.529532,180003
10119,50.354233,3.529469,180004
10119,50.354204,3.529398,180005
10119,50.354199,3.529391,180006
10119,50.354162,3.529346,180007
10119,50.354113,3.529317,180008
10119,50.354076,3.529317,180009
10119,50.354059,3.529317,180010
10119,50.354009,3.529341,180011
10119,50.353967,3.529392,180012
10119,50.353949,3.529432,180013
10119,50.353937,3.529461,180014
10119,50.353923,3.529541,180015
10119,50.353925,3.529602,180016
10119,50.353927,3.529624,180017
10119,50.353947,3.529701,180018
10119,50.353983,3.529762,180019
10119,50.354000,3.529778,180020
10119,50.353908,3.530118,180021
10119,50.353792,3.530604,180022
10119,50.353791,3.530710,180023
10119,50.353743,3.530901,180024
10119,50.353654,3.531232,180025
10119,50.353638,3.531290,180026
10119,50.353410,3.532139,180027
10119,50.353352,3.532350,180028
10119,50.353281,3.532442,180029
10119,50.353226,3.532625,180030
10119,50.353193,3.532761,180031
10119,50.353158,3.532880,180032
10119,50.353108,3.533104,180033
10119,50.353046,3.533352,180034
10119,50.353005,3.533504,180035
10119,50.352927,3.533847,180036
10119,50.352863,3.534095,180037
10119,50.352863,3.534095,190001
10119,50.352822,3.534252,190002
10119,50.352720,3.534714,190003
10119,50.352724,3.534850,190004
10119,50.352662,3.535124,190005
10119,50.352300,3.536411,190006
10119,50.351959,3.537407,190007
10119,50.351345,3.539424,190008
10119,50.351309,3.539534,190009
10119,50.351131,3.540450,190010
10119,50.351105,3.540584,190011
10119,50.351073,3.540754,190012
10119,50.350968,3.541314,190013
10119,50.350957,3.541385,190014
10119,50.350957,3.541385,200001
10119,50.350842,3.542145,200002
10119,50.350834,3.542195,200003
10119,50.350768,3.542579,200004
10119,50.350732,3.542724,200005
10119,50.350699,3.542863,200006
10119,50.350633,3.543039,200007
10119,50.350567,3.543208,200008
10119,50.350495,3.543345,200009
10119,50.350389,3.543591,200010
10119,50.350204,3.544027,200011
10119,50.350148,3.544158,200012
10119,50.350148,3.544158,210001
10119,50.350087,3.544299,210002
10119,50.349600,3.545427,210003
10119,50.349346,3.546036,210004
10119,50.349086,3.546586,210005
10119,50.348621,3.547697,210006
10119,50.348421,3.548163,210007
10119,50.347776,3.549670,210008
10119,50.347633,3.550007,210009
10119,50.347460,3.550413,210010
10119,50.347460,3.550413,220001
10119,50.347317,3.550749,220002
10119,50.346664,3.552307,220003
10119,50.346558,3.552568,220004
10119,50.346291,3.553288,220005
10119,50.346158,3.553619,220006
10119,50.346014,3.553984,220007
10119,50.345981,3.554098,220008
10119,50.345981,3.554098,230001
10119,50.345927,3.554282,230002
10119,50.345892,3.554445,230003
10119,50.345858,3.554438,230004
10119,50.345829,3.554436,230005
10119,50.345800,3.554442,230006
10119,50.345774,3.554451,230007
10119,50.345739,3.554477,230008
10119,50.345675,3.554468,230009
10119,50.345630,3.554455,230010
10119,50.345601,3.554441,230011
10119,50.345556,3.554409,230012
10119,50.345474,3.554336,230013
10119,50.345415,3.554289,230014
10119,50.345328,3.554229,230015
10119,50.345171,3.554140,230016
10119,50.344773,3.553907,230017
10119,50.344590,3.553791,230018
10119,50.344431,3.553687,230019
10119,50.344163,3.553502,230020
10119,50.344035,3.553447,230021
10119,50.343799,3.553240,230022
10119,50.343649,3.553091,230023
10119,50.343411,3.552833,230024
10119,50.343246,3.552626,230025
10119,50.343146,3.552493,230026
10119,50.343161,3.552471,230027
10119,50.343169,3.552451,230028
10119,50.343182,3.552395,230029
10119,50.343184,3.552370,230030
10119,50.343181,3.552332,230031
10119,50.343176,3.552306,230032
10119,50.343167,3.552276,230033
10119,50.343157,3.552253,230034
10119,50.343139,3.552225,230035
10119,50.343119,3.552208,230036
10119,50.343095,3.552197,230037
10119,50.343071,3.552192,230038
10119,50.343043,3.552193,230039
10119,50.343024,3.552200,230040
10119,50.343008,3.552210,230041
10119,50.342974,3.552240,230042
10119,50.342937,3.552174,230043
10119,50.342869,3.552067,230044
10119,50.342835,3.551960,230045
10119,50.342735,3.551782,230046
10119,50.342614,3.551554,230047
10119,50.342512,3.551344,230048
10119,50.342388,3.551050,230049
10119,50.342201,3.550637,230050
10119,50.341982,3.550129,230051
10119,50.341768,3.549671,230052
10119,50.341768,3.549671,240001
10119,50.341597,3.549306,240002
10119,50.341562,3.549232,240003
10119,50.341516,3.549292,240004
10119,50.341242,3.549589,240005
10119,50.341158,3.549687,240006
10119,50.340996,3.549841,240007
10119,50.340820,3.549989,240008
10119,50.340487,3.550252,240009
10119,50.340408,3.550346,240010
10119,50.340183,3.550509,240011
10119,50.340113,3.550558,240012
10119,50.339790,3.550793,240013
10119,50.339169,3.551259,240014
10119,50.339056,3.551368,240015
10119,50.339014,3.551414,240016
10119,50.338932,3.551513,240017
10119,50.338820,3.551656,240018
10119,50.338755,3.551692,240019
10119,50.338641,3.551845,240020
10119,50.338548,3.551998,240021
10119,50.338529,3.552033,240022
10119,50.338527,3.552033,250001
10119,50.338481,3.552118,250002
10119,50.338452,3.552178,250003
10119,50.338419,3.552252,250004
10119,50.338387,3.552335,250005
10119,50.338324,3.552509,250006
10119,50.338286,3.552637,250007
10119,50.338261,3.552695,250008
10119,50.338222,3.552761,250009
10119,50.338185,3.552797,250010
10119,50.338157,3.552815,250011
10119,50.338132,3.552810,250012
10119,50.338107,3.552810,250013
10119,50.338078,3.552818,250014
10119,50.338048,3.552826,250015
10119,50.338015,3.552854,250016
10119,50.338001,3.552863,250017
10119,50.337982,3.552886,250018
10119,50.337966,3.552916,250019
10119,50.337949,3.552957,250020
10119,50.337934,3.553016,250021
10119,50.337923,3.553102,250022
10119,50.337876,3.553174,250023
10119,50.337822,3.553249,250024
10119,50.337714,3.553371,250025
10119,50.337606,3.553482,250026
10119,50.337498,3.553564,250027
10119,50.337331,3.553673,250028
10119,50.337117,3.553860,250029
10119,50.337071,3.553904,250030
10119,50.337028,3.553922,250031
10119,50.336987,3.553933,250032
10119,50.336945,3.553933,250033
10119,50.336922,3.553923,250034
10119,50.336887,3.553909,250035
10119,50.336861,3.553904,250036
10119,50.336826,3.553913,250037
10119,50.336778,3.553927,250038
10119,50.336745,3.553955,250039
10119,50.336724,3.553982,250040
10119,50.336698,3.554025,250041
10119,50.336678,3.554079,250042
10119,50.336664,3.554132,250043
10119,50.336661,3.554179,250044
10119,50.336662,3.554217,250045
10119,50.336663,3.554242,250046
10119,50.336669,3.554273,250047
10119,50.336678,3.554306,250048
10119,50.336697,3.554359,250049
10119,50.336721,3.554402,250050
10119,50.336743,3.554428,250051
10119,50.336767,3.554448,250052
10119,50.336792,3.554463,250053
10119,50.336818,3.554472,250054
10119,50.336846,3.554474,250055
10119,50.336876,3.554470,250056
10119,50.336905,3.554463,250057
10119,50.336917,3.554461,250058
10119,50.336925,3.555196,250059
10119,50.336902,3.555426,250060
10119,50.336862,3.555885,250061
10119,50.336862,3.556129,250062
10119,50.336876,3.556389,250063
10119,50.336897,3.556580,250064
10119,50.336938,3.556805,250065
10119,50.336982,3.557017,250066
10119,50.337107,3.557357,250067
10119,50.337190,3.557627,250068
10119,50.337304,3.558008,250069
10119,50.337366,3.558175,250070
10119,50.337407,3.558303,250071
10119,50.337440,3.558384,250072
10119,50.337517,3.558594,250073
10119,50.337601,3.558806,250074
10119,50.337626,3.558849,250075
10119,50.337738,3.559041,250076
10125,50.338115,3.559591,10001
10125,50.338012,3.559455,10002
10125,50.337964,3.559389,10003
