route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
178-28452,AN2526-ALUN1-Semaine-01,6203147-AN2526-ALUN1-Semaine-01,"VALENCIENNES GARE",1,1687513,1780077
178-28452,AN2526-ALUN1-Semaine-01,6203148-AN2526-ALUN1-Semaine-01,"HERGNIES",0,1687538,1780076
178-28452,AN2526-ALUN1-Semaine-01,6203149-AN2526-ALUN1-Semaine-01,"HERGNIES",0,1687517,1780076
178-28452,AN2526-ALUN1-Semaine-01,6203150-AN2526-ALUN1-Semaine-01,"VALENCIENNES GARE",1,1687597,1780077
133-28452,AN2526-ALUN1-Semaine-01,6203173-AN2526-ALUN1-Semaine-01,"CONDE/PISCINE ST AMD",1,1687563,1330131
133-28452,AN2526-ALUN1-Semaine-01-1111100,6203174-AN2526-ALUN1-Semaine-01-1111100,"SAINT AMAND SNCF",0,1687555,1330132
133-28452,AN2526-ALUN1-Semaine-01,6203176-AN2526-ALUN1-Semaine-01,"ST AMAND PAR PISCINE",0,1687568,1330130
133-28452,AN2526-ALUN1-Semaine-01,6203177-AN2526-ALUN1-Semaine-01,"SAINT AMAND SNCF",0,1687604,1330132
131-28452,AN2526-ALUN1-Semaine-01,6203184-AN2526-ALUN1-Semaine-01,"SEBOURG TRIEZ",0,1687559,1310074
131-28452,AN2526-ALUN1-Semaine-01,6203185-AN2526-ALUN1-Semaine-01,"SEBOURG TRIEZ",0,1687646,1310074
131-28452,AN2526-ALUN1-Semaine-01,6203186-AN2526-ALUN1-Semaine-01,"SEBOURG TRIEZ",0,1687632,1310074
131-28452,AN2526-ALUN1-Semaine-01,6203187-AN2526-ALUN1-Semaine-01,"VALS ESPLANADE",1,1687550,1310076
131-28452,AN2526-ALUN1-Semaine-01,6203188-AN2526-ALUN1-Semaine-01,"VALS ESPLANADE",1,1687566,1310076
131-28452,AN2526-ALUN1-Semaine-01,6203189-AN2526-ALUN1-Semaine-01,"VALS ESPLANADE",1,1687553,1310076
131-28452,AN2526-ALUN1-Semaine-01,6203190-AN2526-ALUN1-Semaine-01,"VALS ESPLANADE",1,1687622,1310076
131-28452,AN2526-ALUN1-Semaine-01,6203191-AN2526-ALUN1-Semaine-01,"SEBOURG TRIEZ",0,1687536,1310074
18-28452,AN2526-ALUN1-Semaine-01,6203198-AN2526-ALUN1-Semaine-01,"ABSCON REPUBLIQUE",0,1687584,180012
18-28452,AN2526-ALUN1-Semaine-01,6203199-AN2526-ALUN1-Semaine-01,"DENAIN ESPACE VILLARS",1,1687637,180011
18-28452,AN2526-ALUN1-Semaine-01,6203200-AN2526-ALUN1-Semaine-01,"DENAIN ESPACE VILLARS",1,1687520,180011
18-28452,AN2526-ALUN1-Semaine-01,6203201-AN2526-ALUN1-Semaine-01,"DENAIN ESPACE VILLARS",1,1687601,180011
18-28452,AN2526-ALUN1-Semaine-01,6203202-AN2526-ALUN1-Semaine-01,"DENAIN ESPACE VILLARS",1,1687543,180011
18-28452,AN2526-ALUN1-Semaine-01,6203203-AN2526-ALUN1-Semaine-01,"ABSCON REPUBLIQUE",0,1687612,180012
18-28452,AN2526-ALUN1-Semaine-01,6203204-AN2526-ALUN1-Semaine-01,"ABSCON REPUBLIQUE",0,1687577,180012
18-28452,AN2526-ALUN1-Semaine-01,6203205-AN2526-ALUN1-Semaine-01,"ABSCON REPUBLIQUE",0,1687657,180012
15-28452,AN2526-ALUN1-Semaine-01,6203248-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687526,150001
15-28452,AN2526-ALUN1-Semaine-01,6203249-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687641,150001
15-28452,AN2526-ALUN1-Semaine-01,6203250-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687642,150001
15-28452,AN2526-ALUN1-Semaine-01,6203251-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687510,150001
15-28452,AN2526-ALUN1-Semaine-01,6203252-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687595,150001
15-28452,AN2526-ALUN1-Semaine-01,6203253-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687529,150001
15-28452,AN2526-ALUN1-Semaine-01,6203254-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687619,150001
15-28452,AN2526-ALUN1-Semaine-01,6203255-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687647,150001
15-28452,AN2526-ALUN1-Semaine-01,6203256-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687644,150001
15-28452,AN2526-ALUN1-Semaine-01,6203257-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687613,150001
15-28452,AN2526-ALUN1-Semaine-01,6203258-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687545,150001
15-28452,AN2526-ALUN1-Semaine-01,6203259-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687636,150001
15-28452,AN2526-ALUN1-Semaine-01,6203260-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687639,150002
15-28452,AN2526-ALUN1-Semaine-01,6203261-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687574,150002
15-28452,AN2526-ALUN1-Semaine-01,6203262-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687528,150002
15-28452,AN2526-ALUN1-Semaine-01,6203263-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687652,150002
15-28452,AN2526-ALUN1-Semaine-01,6203264-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687567,150002
15-28452,AN2526-ALUN1-Semaine-01,6203265-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687549,150002
15-28452,AN2526-ALUN1-Semaine-01,6203266-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687580,150002
15-28452,AN2526-ALUN1-Semaine-01,6203267-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687600,150002
15-28452,AN2526-ALUN1-Semaine-01,6203268-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687592,150002
15-28452,AN2526-ALUN1-Semaine-01,6203269-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687515,150002
15-28452,AN2526-ALUN1-Semaine-01,6203270-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687625,150002
15-28452,AN2526-ALUN1-Semaine-01,6203271-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687651,150002
15-28452,AN2526-ALUN1-Semaine-01,6203272-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687609,150002
15-28452,AN2526-ALUN1-Semaine-01,6203273-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687546,150002
15-28452,AN2526-ALUN1-Semaine-01,6203274-AN2526-ALUN1-Semaine-01,"HAULCHIN RACINE",1,1687589,150002
15-28452,AN2526-ALUN1-Semaine-01,6203275-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687548,150001
15-28452,AN2526-ALUN1-Semaine-01,6203276-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687599,150001
15-28452,AN2526-ALUN1-Semaine-01,6203277-AN2526-ALUN1-Semaine-01,"NEUVILLE CIMETIERE",0,1687593,150001
13-28452,AN2526-ALUN1-Semaine-01,6203278-AN2526-ALUN1-Semaine-01,"FAMARS UNIVERSITE",0,1687533,130006
13-28452,AN2526-ALUN1-Semaine-01,6203279-AN2526-ALUN1-Semaine-01,"UNIVERSITE/RTE AULNOY",0,1687560,130005
13-28452,AN2526-ALUN1-Semaine-01,6203280-AN2526-ALUN1-Semaine-01,"UNIVERSITE/RTE AULNOY",0,1687634,130005
13-28452,AN2526-ALUN1-Semaine-01,6203281-AN2526-ALUN1-Semaine-01,"UNIVERSITE/RTE AULNOY",0,1687547,130005
13-28452,AN2526-ALUN1-Semaine-01,6203282-AN2526-ALUN1-Semaine-01,"UNIVERSITE/RTE AULNOY",0,1687630,130005
13-28452,AN2526-ALUN1-Semaine-01,6203283-AN2526-ALUN1-Semaine-01,"FAMARS UNIVERSITE",0,1687535,130006
13-28452,AN2526-ALUN1-Semaine-01,6203284-AN2526-ALUN1-Semaine-01,"UNIVERSITE/RTE AULNOY",0,1687575,130005
13-28452,AN2526-ALUN1-Semaine-01,6203285-AN2526-ALUN1-Semaine-01,"FAMARS UNIVERSITE",0,1687540,130006
13-28452,AN2526-ALUN1-Semaine-01,6203286-AN2526-ALUN1-Semaine-01,"UNIVERSITE/RTE AULNOY",0,1687591,130005
13-28452,AN2526-ALUN1-Semaine-01,6203287-AN2526-ALUN1-Semaine-01,"UNIVERSITE/RTE AULNOY",0,1687511,130005
13-28452,AN2526-ALUN1-Semaine-01,6203288-AN2526-ALUN1-Semaine-01,"FAMARS UNIVERSITE",0,1687581,130006
13-28452,AN2526-ALUN1-Semaine-01,6203289-AN2526-ALUN1-Semaine-01,"FAMARS UNIVERSITE",0,1687530,130006
13-28452,AN2526-ALUN1-Semaine-01,6203290-AN2526-ALUN1-Semaine-01,"UNIVERSITE/RTE AULNOY",0,1687554,130005
13-28452,AN2526-ALUN1-Semaine-01,6203291-AN2526-ALUN1-Semaine-01,"UNIVERSITE/RTE AULNOY",0,1687618,130005
13-28452,AN2526-ALUN1-Semaine-01,6203292-AN2526-ALUN1-Semaine-01,"UNIVERSITE/RTE AULNOY",0,1687521,130005
13-28452,AN2526-ALUN1-Semaine-01,6203293-AN2526-ALUN1-Semaine-01,"FAMARS UNIVERSITE",0,1687626,130006
13-28452,AN2526-ALUN1-Semaine-01,6203294-AN2526-ALUN1-Semaine-01,"FAMARS UNIVERSITE",0,1687564,130006
13-28452,AN2526-ALUN1-Semaine-01,6203295-AN2526-ALUN1-Semaine-01,"FAMARS UNIVERSITE",0,1687645,130006
13-28452,AN2526-ALUN1-Semaine-01,6203296-AN2526-ALUN1-Semaine-01,"VALENCIENNES GARE",1,1687524,130008
13-28452,AN2526-ALUN1-Semaine-01,6203297-AN2526-ALUN1-Semaine-01,"VALS/ ROUTE D'AULNOY",1,1687570,130007
13-28452,AN2526-ALUN1-Semaine-01,6203298-AN2526-ALUN1-Semaine-01,"VALS/ ROUTE D'AULNOY",1,1687629,130007
13-28452,AN2526-ALUN1-Semaine-01,6203299-AN2526-ALUN1-Semaine-01,"VALS/ ROUTE D'AULNOY",1,1687523,130007
13-28452,AN2526-ALUN1-Semaine-01,6203300-AN2526-ALUN1-Semaine-01,"VALS/ ROUTE D'AULNOY",1,1687610,130007
13-28452,AN2526-ALUN1-Semaine-01,6203301-AN2526-ALUN1-Semaine-01,"VALS/ ROUTE D'AULNOY",1,1687656,130007
13-28452,AN2526-ALUN1-Semaine-01,6203302-AN2526-ALUN1-Semaine-01,"VALENCIENNES GARE",1,1687611,130008
13-28452,AN2526-ALUN1-Semaine-01,6203303-AN2526-ALUN1-Semaine-01,"VALS/ ROUTE D'AULNOY",1,1687635,130007
13-28452,AN2526-ALUN1-Semaine-01,6203304-AN2526-ALUN1-Semaine-01,"VALS/ ROUTE D'AULNOY",1,1687643,130007
13-28452,AN2526-ALUN1-Semaine-01,6203305-AN2526-ALUN1-Semaine-01,"VALENCIENNES GARE",1,1687586,130008
13-28452,AN2526-ALUN1-Semaine-01,6203306-AN2526-ALUN1-Semaine-01,"VALENCIENNES GARE",1,1687542,130008
13-28452,AN2526-ALUN1-Semaine-01,6203307-AN2526-ALUN1-Semaine-01,"VALENCIENNES GARE",1,1687576,130008
13-28452,AN2526-ALUN1-Semaine-01,6203308-AN2526-ALUN1-Semaine-01,"VALS/ ROUTE D'AULNOY",1,1687650,130007
13-28452,AN2526-ALUN1-Semaine-01,6203309-AN2526-ALUN1-Semaine-01,"VALS/ ROUTE D'AULNOY",1,1687608,130007
13-28452,AN2526-ALUN1-Semaine-01,6203310-AN2526-ALUN1-Semaine-01,"VALS/ ROUTE D'AULNOY",1,1687573,130007
13-28452,AN2526-ALUN1-Semaine-01,6203311-AN2526-ALUN1-Semaine-01,"VALENCIENNES GARE",1,1687606,130008
13-28452,AN2526-ALUN1-Semaine-01,6203312-AN2526-ALUN1-Semaine-01,"VALENCIENNES GARE",1,1687578,130008
112-28452,AN2526-ALUN1-Semaine-01,6203321-AN2526-ALUN1-Semaine-01,"BOUCHAIN GARE",1,1687556,1120050
112-28452,AN2526-ALUN1-Semaine-01,6203322-AN2526-ALUN1-Semaine-01,"MARQUETTE 8 MAI 45",0,1687579,1120043
112-28452,AN2526-ALUN1-Semaine-01,6203323-AN2526-ALUN1-Semaine-01,"MARQUETTE 8 MAI 45",0,1687534,1120051
112-28452,AN2526-ALUN1-Semaine-01,6203324-AN2526-ALUN1-Semaine-01,"MARQUETTE 8 MAI 45",0,1687537,1120043
